,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,0,-51.98379456595719,0.0,0.16,-0.01,0.84,-0.53,-0.14,-0.01,-0.31,-0.0,0.92,0.08,0.0,-0.05,-0.29,0.09,0.25,0.0,0.0,-0.5,0.07,0.43,0.0,0.0,0.0,-0.95,0.16,0.63,-0.11,0.27,0.0,-0.89,0.46,-0.17,0.59,0.0,0.0,-0.04,-0.56,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,0.06,0.12,-0.32,-0.0,0.54,0.46,-0.33,-0.56,-0.11,-0.0,0.06,-0.06
1,100,-46.65808512609209,0.0,0.53,0.32,-0.85,-0.0,-0.0,-0.0,0.09,0.66,-0.75,-0.0,-0.0,0.08,-0.08,-0.0,0.67,-0.67,-0.0,-0.0,0.83,-0.74,0.01,0.54,0.37,0.0,-0.19,-0.81,-0.0,-0.0,-0.0,-0.0,0.43,-0.43,-0.0,-0.0,-0.0,-0.0,-0.0,0.14,-0.14,0.95,-0.9,-0.05,0.97,-0.97,-0.0,-0.0,-0.0,0.17,-0.17,0.22,-0.22,0.88,0.12,0.0,0.0,-0.67,-0.33,0.16
2,200,-48.72778680981886,0.0,-0.0,0.68,-0.68,-0.0,-0.0,0.11,-0.09,0.32,-0.34,-0.0,-0.0,-0.0,-0.0,-0.0,0.89,0.11,0.0,-1.0,-0.0,-0.0,-0.0,0.1,-0.1,-0.0,-0.0,-0.0,-0.0,-0.0,0.37,-0.37,-0.0,-0.0,-0.0,0.08,-0.08,-0.0,0.04,-0.04,0.52,-0.04,0.52,-1.0,0.16,0.37,-0.53,-0.0,-0.0,0.18,-0.18,-0.0,-0.0,-0.0,0.71,0.14,-0.85,-0.0,-0.0,-0.0
3,300,-54.488457705065215,0.0,-0.0,-0.0,0.38,-0.38,-0.0,-0.0,0.04,-0.04,-0.0,0.71,-0.71,-0.0,0.33,-0.33,-0.0,-0.0,-0.0,0.47,-0.09,0.38,-0.77,0.84,0.16,0.0,-1.0,-0.0,-0.0,0.22,-0.22,-0.0,-0.0,0.99,-0.99,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.61,-0.61,-0.0,-0.0,0.95,-0.95,-0.0,-0.0,-0.0,0.17,-0.17,-0.0,-0.0,-0.0,0.11,0.77,-0.88,-0.0
4,400,-48.75145076083869,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.34,-0.03,-0.0,-0.31,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.85,-0.85,0.05,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04,-0.04,-0.0,-0.0,-0.0
5,500,-47.55387478075234,0.48,-0.35,-0.13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8,-0.8,-0.0,-0.0,-0.0,-0.0,0.62,-0.62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,600,-49.576266445057,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.64,-0.64,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.71,-0.71,-0.0,0.45,-0.45,-0.0,-0.0,0.82
7,700,-50.053595133782345,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.95,-0.95,-0.0,-0.0,0.44,-0.44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.61,-0.61,-0.0,-0.0,-0.0,-0.0
8,800,-49.03761755700329,0.0,-0.0,0.32,-0.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18,-0.18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,900,-49.327526801822714,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.35,-0.35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
