,Episode,Episode Total Reward,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,0,4909.885487214066,33.69,50.73,41.92,93.39,22.18,21.58,35.61,69.19,9.2,81.34,82.51,83.31,56.42,82.0,28.51,92.86,60.74,31.14,59.89,66.68,38.43,10.65,40.26,68.9,61.85,1.16,35.39,60.3,87.7,69.47,34.16,38.0,49.09,60.31,34.88,19.86,75.88,46.37,45.24,11.38,48.0,61.07,0.5,89.56,97.69,64.45,0.35,5.44,20.72,27.86,98.29,93.22,20.99,97.5,5.68,43.35,76.32,86.13,16.24
1,100,4430.4552157983835,18.98,75.5,41.45,98.5,83.78,61.47,83.19,44.57,16.23,36.4,20.61,100.0,100.0,36.51,14.28,32.27,100.0,100.0,100.0,91.39,93.97,44.39,38.77,84.92,100.0,28.01,28.81,28.48,100.0,54.06,33.6,38.21,70.75,100.0,40.3,43.28,100.0,13.14,23.19,17.18,48.47,97.75,26.73,100.0,90.18,100.0,100.0,100.0,100.0,36.67,9.66,47.78,44.34,59.92,100.0,29.98,100.0,100.0,75.26
2,200,4204.422624606416,97.34,100.0,49.04,100.0,100.0,56.27,26.15,50.15,76.26,79.45,71.78,20.4,100.0,100.0,81.02,66.11,36.83,100.0,17.11,100.0,64.44,100.0,46.39,100.0,70.68,6.78,100.0,100.0,53.92,0.73,46.68,100.0,100.0,98.07,44.25,71.85,100.0,100.0,100.0,27.71,55.19,100.0,100.0,63.86,20.88,100.0,100.0,100.0,73.07,36.52,100.0,48.1,100.0,95.84,53.12,100.0,80.0,73.72,28.85
3,300,4381.837212287888,100.0,100.0,26.11,100.0,100.0,100.0,65.57,100.0,100.0,100.0,17.8,100.0,13.04,100.0,84.09,10.25,100.0,63.84,100.0,1.81,62.75,100.0,54.74,96.11,45.21,57.13,100.0,6.15,38.58,100.0,100.0,23.44,100.0,100.0,73.75,90.34,94.99,100.0,100.0,100.0,100.0,100.0,11.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.47,45.64,100.0,100.0,52.1,42.92,100.0,87.89,14.26
4,400,4389.2766738463415,100.0,100.0,100.0,7.43,100.0,65.03,74.67,100.0,33.71,100.0,100.0,100.0,100.0,83.7,100.0,100.0,72.61,100.0,100.0,100.0,100.0,54.56,100.0,100.0,100.0,48.99,100.0,100.0,100.0,100.0,100.0,100.0,85.7,100.0,100.0,98.58,65.32,84.44,26.54,100.0,100.0,100.0,100.0,100.0,26.56,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.63,100.0,9.97,100.0,100.0,100.0
5,500,4469.980416520899,100.0,100.0,100.0,100.0,67.05,100.0,100.0,100.0,22.77,76.02,88.04,100.0,15.9,100.0,100.0,0.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.36,100.0,100.0,100.0,86.68,100.0,40.88,100.0,100.0,100.0,60.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.17,100.0,21.8,80.97,100.0,100.0,92.12,89.3,100.0,100.0,100.0,100.0,100.0,100.0
6,600,4403.18385445624,100.0,100.0,100.0,69.86,100.0,100.0,100.0,38.17,100.0,94.29,100.0,100.0,100.0,67.58,98.18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.23,49.38,98.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.39,100.0,100.0,100.0,100.0,100.0,69.01,100.0,100.0,4.17,58.68,100.0,100.0,100.0,100.0,100.0
7,700,4336.668475576755,100.0,100.0,100.0,100.0,82.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.05,100.0,85.36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.32,100.0,100.0,100.0,100.0,81.46,100.0,100.0,100.0,100.0,100.0
8,800,4094.9935201934986,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.74,100.0,100.0,100.0,100.0,100.0,83.18,100.0,84.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.83,100.0,86.24,31.48,100.0,100.0,25.41,100.0,100.0,100.0,21.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,900,4186.835678387369,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.61,100.0,100.0,87.35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
