,Episode,Episode Total Reward,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,100,376.93372006509685,"tensor(2074.5879, grad_fn=<MseLossBackward0>)","tensor(13449182.6828, grad_fn=<MseLossBackward0>)",6.177806231107741,62.02,3.07,25.85,27.4,97.91,92.65,26.77,97.93,85.48,39.64,97.15,82.3,5.04,55.69,92.89,29.44,94.18,43.75,35.98,98.19,78.59,72.41,71.76,28.0,12.56,43.5,39.84,21.36,72.93,67.09,98.14,50.71,55.31,67.65,38.36,81.55,71.57,64.21,48.15,23.28,66.62,8.14,20.93,2.16,6.31,78.28,2.4,26.39,47.34,67.67,61.21,29.65,76.35,10.52,13.87,75.51,64.14,93.03,18.93
1,200,489.76013561006306,"tensor(952.5410, grad_fn=<MseLossBackward0>)","tensor(8205024.3062, grad_fn=<MseLossBackward0>)",13.498562126310455,92.01,82.18,83.12,25.45,82.2,59.19,5.72,5.27,41.49,5.31,25.76,65.59,73.6,88.98,5.09,76.48,68.4,4.77,27.16,40.84,54.74,2.64,49.87,81.9,71.54,67.74,94.97,41.66,54.84,22.87,20.31,63.05,37.12,6.83,75.92,27.91,36.74,13.35,82.37,20.01,53.49,23.95,32.65,77.88,75.41,50.86,1.29,69.08,68.09,95.83,34.76,12.07,8.08,84.85,55.12,34.73,22.03,31.76,22.3
2,300,172.3148271321243,"tensor(1451.5840, grad_fn=<MseLossBackward0>)","tensor(11226124.6634, grad_fn=<MseLossBackward0>)",17.972022863034645,1.59,93.14,65.61,85.26,60.81,16.6,57.02,46.16,78.06,22.93,4.48,76.09,75.44,95.96,51.35,65.68,88.11,60.62,60.72,60.78,81.81,65.84,60.9,60.94,73.68,58.2,95.8,79.82,13.55,57.53,0.62,57.85,41.69,60.88,59.66,60.23,24.91,58.5,87.32,45.46,25.89,95.46,68.38,92.23,13.26,44.21,50.21,52.28,63.48,85.19,92.86,95.79,93.76,25.82,6.79,54.19,55.39,74.22,99.52
3,400,153.43743036352294,"tensor(1548.6732, grad_fn=<MseLossBackward0>)","tensor(6184692.4205, grad_fn=<MseLossBackward0>)",22.357562332629335,76.53,14.52,97.55,5.53,97.56,97.64,72.86,97.63,97.65,92.26,65.97,97.63,18.55,53.34,97.62,97.64,97.64,97.64,97.64,42.43,97.62,41.37,93.68,52.1,5.21,28.17,89.48,85.94,25.33,47.78,97.64,16.74,0.72,97.6,97.4,98.19,19.07,94.09,43.24,68.27,12.52,92.42,78.91,65.67,21.4,56.32,0.92,91.09,7.13,24.11,22.55,29.5,40.82,9.45,90.54,60.45,38.48,15.95,95.2
4,500,609.1333313901939,"tensor(1458.2035, grad_fn=<MseLossBackward0>)","tensor(14082785.6082, grad_fn=<MseLossBackward0>)",25.18517583110519,17.43,97.36,99.07,21.37,10.05,97.05,83.21,9.07,90.12,99.07,99.05,94.56,33.7,14.95,5.01,98.88,46.75,18.7,99.04,99.04,58.56,99.08,13.57,99.08,98.94,40.73,51.33,98.09,51.88,61.48,99.06,98.96,97.29,99.01,52.18,31.08,99.08,36.23,90.07,22.86,49.57,27.54,17.72,98.09,25.17,97.98,26.12,63.61,43.22,53.79,74.05,79.44,13.78,20.92,36.31,60.0,7.15,42.94,50.58
5,600,476.16275779562966,"tensor(1811.0678, grad_fn=<MseLossBackward0>)","tensor(16992050.3094, grad_fn=<MseLossBackward0>)",28.588866758456355,43.07,23.37,14.65,14.84,14.65,55.67,58.0,14.27,2.61,4.92,99.99,9.69,12.27,92.44,69.16,12.45,15.21,58.28,12.98,66.34,30.32,14.36,48.5,13.03,10.45,42.05,95.24,12.36,21.61,14.92,14.72,81.23,17.27,26.34,21.61,23.57,44.72,6.27,68.55,9.54,93.5,77.8,86.48,51.79,68.39,93.47,0.73,35.94,80.58,80.59,95.01,13.81,96.68,1.29,95.46,59.03,5.56,7.84,11.42
6,700,316.67086609079155,"tensor(1388.2274, grad_fn=<MseLossBackward0>)","tensor(10578450.4623, grad_fn=<MseLossBackward0>)",31.877958432069978,93.81,19.24,6.88,3.22,73.09,52.27,48.71,74.4,75.87,10.42,7.14,65.69,39.17,90.99,16.17,34.81,59.43,27.47,83.98,6.78,90.78,5.34,24.49,72.62,4.27,15.06,88.54,25.98,71.87,14.8,93.33,0.46,88.83,68.44,1.93,61.06,4.12,8.18,8.5,77.61,0.57,87.79,21.63,96.67,0.36,60.07,61.13,67.08,0.98,95.9,14.04,30.79,80.13,89.37,0.64,96.04,60.04,0.75,57.29
7,800,666.4359896064067,"tensor(2566.7844, grad_fn=<MseLossBackward0>)","tensor(29925963.6571, grad_fn=<MseLossBackward0>)",36.313417764504315,51.34,73.8,27.34,98.44,8.11,25.84,95.49,7.73,5.35,87.08,66.14,35.23,89.36,7.5,98.23,5.25,98.3,73.64,8.26,98.32,4.81,98.38,81.35,5.77,99.64,72.84,94.01,99.62,27.35,98.01,55.77,7.05,19.89,39.81,30.02,35.56,11.08,69.62,2.06,28.38,87.52,10.18,94.78,41.75,94.65,81.19,1.44,93.45,1.25,23.97,51.38,19.78,96.79,1.26,94.74,1.56,95.54,68.97,3.05
8,900,-106.27989707768629,"tensor(1766.4729, grad_fn=<MseLossBackward0>)","tensor(24977383.5121, grad_fn=<MseLossBackward0>)",38.57370434865226,98.84,4.35,91.79,4.58,98.37,44.13,31.15,99.25,41.56,98.72,2.73,98.11,40.25,33.73,98.92,69.22,52.4,23.83,99.22,46.7,7.66,99.23,58.18,48.57,15.8,76.42,47.68,98.04,22.62,99.26,27.71,57.38,33.33,5.87,19.57,93.0,2.37,6.05,10.53,86.45,1.27,92.49,35.56,98.63,3.56,71.65,1.28,97.24,98.79,4.54,97.7,16.15,7.39,2.0,97.88,1.8,98.15,2.06,72.02
9,1000,605.6883227481281,"tensor(2834.6821, grad_fn=<MseLossBackward0>)","tensor(25354567.5461, grad_fn=<MseLossBackward0>)",41.97455105817489,96.86,32.91,99.3,4.74,61.84,9.73,28.19,99.31,2.42,3.85,95.24,36.4,62.02,7.54,20.33,82.63,4.21,99.31,2.71,98.93,2.76,53.3,38.24,83.67,56.84,87.25,29.3,2.27,82.23,2.48,35.0,12.63,98.23,55.56,98.88,22.46,51.15,53.33,77.74,2.34,22.06,9.87,14.68,86.7,3.62,26.95,6.21,83.91,2.48,85.17,2.98,53.31,17.1,81.71,77.41,2.41,86.71,2.33,32.78
10,1100,102.35723759306046,"tensor(2415.8812, grad_fn=<MseLossBackward0>)","tensor(26177244.9704, grad_fn=<MseLossBackward0>)",45.78294699519866,19.17,94.57,17.91,14.02,17.16,67.78,72.29,94.07,1.5,4.95,3.52,27.49,81.96,16.5,94.43,1.44,95.58,1.44,36.32,46.78,5.01,95.97,1.44,59.13,91.18,23.64,73.01,49.68,83.85,26.82,93.16,61.41,1.48,93.51,18.45,68.54,1.48,4.65,7.24,49.56,2.74,42.9,20.2,13.67,87.32,2.68,98.64,55.73,25.79,86.9,3.42,87.49,3.86,57.7,5.28,89.7,69.83,60.62,1.55
11,1200,730.0449695189053,"tensor(1754.8039, grad_fn=<MseLossBackward0>)","tensor(14614224.8523, grad_fn=<MseLossBackward0>)",49.23861872658999,37.03,1.34,4.22,48.63,0.91,78.28,49.88,1.06,94.86,1.5,2.73,4.54,39.04,28.04,59.48,1.59,95.23,99.02,1.49,38.85,1.44,48.8,1.56,67.61,1.5,12.72,36.26,68.25,24.21,94.42,1.82,55.75,1.51,1.47,4.23,82.81,1.6,3.48,5.36,26.66,74.91,18.3,10.24,54.28,23.98,65.36,6.71,20.04,50.59,34.8,3.82,53.79,17.9,41.68,15.12,58.31,30.09,1.71,1.53
12,1300,472.55199154828296,"tensor(1461.6784, grad_fn=<MseLossBackward0>)","tensor(10317160.3031, grad_fn=<MseLossBackward0>)",50.72161014114191,6.46,10.34,54.61,0.94,79.89,1.5,98.09,1.61,4.19,2.64,2.63,5.58,4.89,98.04,47.21,1.11,98.09,1.56,7.56,11.25,96.83,1.55,96.2,57.52,77.41,22.23,51.64,65.08,61.54,1.57,4.89,1.95,95.29,1.51,4.99,75.29,1.51,2.87,95.17,76.53,45.92,37.94,60.21,41.97,47.42,23.14,31.88,56.59,67.31,22.01,42.59,6.09,65.55,67.41,61.84,65.97,83.21,4.45,1.66
13,1400,274.08181806584315,"tensor(2626.7158, grad_fn=<MseLossBackward0>)","tensor(24394064.8479, grad_fn=<MseLossBackward0>)",53.18017820195837,5.7,76.77,1.21,5.95,5.52,3.4,95.52,33.45,2.27,82.95,1.51,33.3,49.25,1.09,6.06,6.44,93.88,1.32,6.17,7.25,95.52,89.28,57.35,1.48,1.77,17.48,36.71,43.42,32.21,84.52,1.23,6.36,93.44,1.21,4.75,37.65,1.49,2.18,68.54,75.85,59.38,59.58,38.07,39.33,30.6,15.61,19.96,44.51,33.9,32.55,22.48,81.78,49.28,90.42,59.93,67.19,87.27,4.99,87.25
14,1500,377.2190500062231,"tensor(1378.2117, grad_fn=<MseLossBackward0>)","tensor(3675251.1851, grad_fn=<MseLossBackward0>)",57.01214748088689,46.65,0.11,3.17,52.64,16.79,56.05,11.94,5.6,2.66,2.15,2.17,5.07,4.44,8.53,5.86,5.68,95.15,1.09,5.58,5.8,10.3,96.12,1.01,6.39,3.03,16.37,35.18,75.93,83.7,1.17,4.43,5.85,95.93,93.22,1.78,5.92,96.17,15.41,2.3,5.96,43.78,22.39,43.03,33.6,35.07,19.91,33.69,30.66,16.38,40.86,14.09,87.06,44.56,34.95,15.26,31.82,17.69,0.94,38.46
15,1600,765.5229037604985,"tensor(1973.8327, grad_fn=<MseLossBackward0>)","tensor(19184100.2562, grad_fn=<MseLossBackward0>)",61.6139527375943,6.63,48.08,97.12,1.68,11.01,3.79,96.03,1.26,2.79,2.19,2.21,26.33,7.36,95.33,1.01,6.64,97.02,0.98,78.62,1.12,44.82,10.79,96.53,0.94,68.7,18.36,29.08,29.95,13.52,9.74,6.33,8.42,82.03,0.93,4.83,11.31,96.09,27.76,94.82,81.49,65.98,28.33,32.48,30.85,30.03,26.8,38.18,8.73,33.91,40.92,19.49,30.51,71.85,20.6,21.01,19.0,37.52,2.42,2.12
16,1700,262.29357062727667,"tensor(1748.0248, grad_fn=<MseLossBackward0>)","tensor(9748203.8232, grad_fn=<MseLossBackward0>)",65.32240892813252,7.02,7.93,5.77,7.73,6.95,3.19,10.33,7.33,2.8,2.06,2.08,6.17,5.19,9.66,8.06,7.82,18.37,93.97,0.74,7.36,10.37,45.04,93.57,0.75,2.36,15.65,22.73,2.63,9.21,5.77,5.67,8.09,96.73,0.81,41.84,1.29,10.8,1.82,3.16,2.42,10.46,37.1,37.37,37.05,93.46,90.45,70.98,50.41,70.81,45.53,42.51,32.75,6.73,42.81,53.48,70.65,90.15,29.46,0.74
17,1800,202.90131646906963,"tensor(1569.9337, grad_fn=<MseLossBackward0>)","tensor(10898992.0238, grad_fn=<MseLossBackward0>)",65.80816993403721,4.75,32.3,12.76,9.76,5.12,1.88,97.77,0.69,62.69,96.89,0.73,83.04,57.22,59.29,13.27,10.84,28.96,93.57,0.73,5.52,97.55,0.74,98.34,0.77,79.5,59.29,41.04,39.95,20.61,11.99,5.38,9.82,97.21,0.85,3.2,12.1,95.84,41.25,1.07,17.44,14.54,38.17,73.45,42.46,91.07,94.5,84.53,71.06,93.22,66.78,71.95,55.56,54.58,68.52,88.87,93.83,94.41,55.16,0.84
18,1900,238.56227622632105,"tensor(1372.8842, grad_fn=<MseLossBackward0>)","tensor(5034254.3642, grad_fn=<MseLossBackward0>)",67.89136909924311,4.37,7.05,3.16,5.42,3.9,1.78,10.41,5.01,1.9,1.3,89.76,0.53,2.36,9.01,7.72,6.89,31.42,70.85,0.52,30.8,45.78,13.24,90.35,0.64,1.49,92.32,74.72,55.06,30.91,90.93,0.92,5.83,91.63,0.73,2.84,7.98,91.5,86.17,90.86,98.6,96.56,97.08,78.72,25.89,7.51,28.37,92.17,92.22,98.53,11.17,45.25,43.03,53.8,95.42,98.62,98.62,98.47,76.73,0.91
19,2000,219.6663406288833,"tensor(2405.4710, grad_fn=<MseLossBackward0>)","tensor(27699183.3236, grad_fn=<MseLossBackward0>)",66.10382603051184,3.54,8.36,2.3,34.88,95.72,0.62,28.02,17.51,1.45,0.97,0.97,2.47,1.83,15.51,13.17,10.46,92.46,0.64,4.86,8.48,84.56,0.64,86.74,0.67,1.11,9.32,18.02,17.14,7.14,2.06,16.61,92.48,0.75,92.38,2.77,10.68,73.76,86.09,94.96,99.19,98.17,98.0,69.7,22.44,23.94,22.79,25.24,20.08,13.74,37.3,23.74,18.8,19.25,16.96,77.91,84.92,23.7,0.77,0.83
20,2100,276.1563247019105,"tensor(1869.7139, grad_fn=<MseLossBackward0>)","tensor(18828525.8461, grad_fn=<MseLossBackward0>)",68.13746139331835,2.71,7.04,1.81,3.57,2.08,1.31,13.59,5.95,1.54,1.01,7.41,2.77,1.78,10.65,8.19,23.04,63.51,0.59,3.83,6.67,15.97,63.51,0.62,10.22,1.47,8.29,15.03,13.84,6.04,1.77,1.77,6.51,63.51,0.68,1.77,8.04,63.51,69.74,96.38,99.71,99.17,99.45,82.96,42.68,20.58,26.11,57.9,50.71,97.38,94.57,99.35,95.16,98.37,99.7,99.73,99.73,99.68,89.33,0.84
21,2200,380.3140007086261,"tensor(1467.3704, grad_fn=<MseLossBackward0>)","tensor(7080845.6051, grad_fn=<MseLossBackward0>)",68.40922886686717,2.84,10.29,1.71,5.28,2.05,1.15,0.1,1.68,1.53,0.86,0.86,1.72,1.59,22.08,0.1,2.52,0.1,6.72,9.69,8.77,0.1,0.11,0.11,2.32,1.02,8.89,16.43,15.23,6.33,1.58,1.58,92.26,70.3,0.5,1.58,9.12,0.11,1.14,1.69,11.32,7.59,19.83,27.32,26.97,88.6,99.91,99.4,99.29,67.33,37.19,17.55,25.8,19.93,17.88,19.58,17.34,16.29,0.49,0.56
22,2300,262.7804460097044,"tensor(3258.9645, grad_fn=<MseLossBackward0>)","tensor(20755048.4850, grad_fn=<MseLossBackward0>)",72.35154467031518,73.33,0.53,1.73,5.91,2.35,1.29,0.06,1.83,1.59,0.96,0.96,1.87,1.76,0.71,6.27,10.27,23.68,0.12,6.03,10.18,0.06,0.08,0.06,11.36,1.61,7.77,14.05,12.68,5.59,1.74,1.74,10.27,0.14,0.06,1.74,10.1,0.12,1.21,1.72,9.77,6.57,16.81,25.17,26.9,27.59,26.17,42.49,17.93,26.21,25.69,22.56,25.99,22.03,17.98,21.68,17.81,17.44,0.44,0.68
23,2400,26.038736855877687,"tensor(1547.2006, grad_fn=<MseLossBackward0>)","tensor(7510011.6028, grad_fn=<MseLossBackward0>)",70.11606770345725,9.46,9.45,2.98,9.46,9.48,1.18,10.42,9.47,1.56,0.87,0.87,3.34,1.55,9.75,20.35,10.09,12.75,12.22,9.54,9.46,11.57,12.99,11.74,12.5,1.29,6.68,11.39,10.12,4.84,1.64,1.63,9.45,49.98,0.67,81.26,32.77,0.81,1.23,1.75,8.3,5.59,13.48,22.56,26.26,27.07,26.63,70.46,80.3,99.97,98.4,99.93,98.39,99.77,99.97,99.97,99.97,99.96,93.84,0.28
24,2500,80.10218761123379,"tensor(1444.5245, grad_fn=<MseLossBackward0>)","tensor(8204648.1735, grad_fn=<MseLossBackward0>)",66.46760540818471,8.54,10.34,2.77,10.0,9.57,1.42,9.91,9.67,32.03,26.47,1.71,59.26,0.37,11.65,10.32,10.36,0.05,10.46,10.32,10.31,0.08,12.78,0.05,10.82,1.42,5.42,8.53,7.59,3.96,1.8,1.85,10.13,0.06,0.05,88.81,0.34,5.1,61.82,98.24,99.98,99.91,99.95,84.43,8.63,70.05,99.92,99.85,99.76,77.44,69.04,99.17,98.6,99.84,99.98,99.98,99.98,99.97,86.16,0.34
25,2600,209.7540556215514,"tensor(2080.1746, grad_fn=<MseLossBackward0>)","tensor(10407749.2586, grad_fn=<MseLossBackward0>)",70.25801682335515,4.04,12.49,3.26,6.37,3.63,1.45,14.49,11.3,1.63,1.08,1.08,3.12,2.29,17.25,17.08,14.56,0.03,13.25,38.23,0.18,14.0,0.03,0.04,13.96,2.15,5.54,9.06,7.87,4.02,2.52,2.47,12.38,0.08,0.03,2.41,12.67,0.08,1.36,1.81,6.7,4.6,10.54,17.31,21.3,21.96,21.61,13.59,20.45,26.78,26.66,23.84,26.65,23.68,23.03,21.58,21.68,29.66,0.35,77.54
26,2700,-181.73812248030094,"tensor(2346.5500, grad_fn=<MseLossBackward0>)","tensor(27217319.3614, grad_fn=<MseLossBackward0>)",72.88854425868865,35.45,1.55,1.77,6.36,3.57,1.34,13.49,11.33,1.57,1.07,1.08,2.51,53.1,0.77,6.62,11.9,2.41,11.38,11.31,11.35,18.93,0.03,17.76,0.03,1.16,4.19,85.43,55.97,17.95,12.1,6.25,11.55,0.03,6.73,3.19,11.36,0.03,1.35,1.71,4.91,3.58,6.88,10.42,94.69,99.48,99.98,66.55,50.24,99.28,97.62,99.94,97.81,99.78,99.98,99.98,99.98,99.98,98.63,0.3
27,2800,294.7715997622218,"tensor(2102.1462, grad_fn=<MseLossBackward0>)","tensor(12116069.5017, grad_fn=<MseLossBackward0>)",66.67446541838811,4.38,13.1,2.69,8.13,4.31,1.22,16.6,13.1,1.55,1.07,1.08,2.19,1.51,14.07,13.47,13.2,17.88,17.88,16.71,15.33,17.89,17.88,18.01,17.87,1.59,3.87,5.41,4.83,3.02,1.55,1.58,12.79,17.98,20.54,17.92,17.92,19.21,1.07,1.7,4.43,3.34,6.05,8.78,9.99,5.59,6.23,3.17,8.51,7.31,11.03,11.56,13.46,14.33,15.12,15.36,15.42,60.35,0.53,0.93
28,2900,401.59032164984,"tensor(2665.9925, grad_fn=<MseLossBackward0>)","tensor(20015167.0242, grad_fn=<MseLossBackward0>)",76.52146125196195,4.52,14.59,3.27,9.78,5.79,1.26,18.81,14.55,1.54,1.09,1.1,2.26,1.51,16.15,15.73,15.01,19.0,18.96,18.89,18.89,19.02,19.22,19.81,19.15,1.56,3.5,4.63,4.22,2.78,1.53,1.55,14.47,19.84,24.52,19.16,82.82,0.34,1.35,1.67,3.93,3.05,5.07,78.72,19.84,8.68,5.55,91.31,99.44,61.19,22.98,9.82,9.19,9.17,9.05,9.4,9.44,8.45,0.62,0.63
29,3000,394.4777360347491,"tensor(4701.8422, grad_fn=<MseLossBackward0>)","tensor(28492217.8252, grad_fn=<MseLossBackward0>)",80.62734464113969,5.04,16.3,4.28,15.78,16.34,1.53,24.1,17.11,56.9,28.29,1.58,2.16,1.57,19.13,22.47,25.83,28.55,28.52,28.41,28.42,28.57,28.65,28.79,28.64,86.66,99.16,58.88,8.97,2.51,1.57,1.59,16.4,28.61,27.08,28.56,29.16,23.6,1.27,1.42,3.55,2.65,4.74,6.78,7.68,6.39,5.0,2.48,6.6,5.41,8.38,8.3,9.04,9.12,9.03,9.34,9.17,8.89,0.79,0.84
30,3100,373.62250517080156,"tensor(2581.9521, grad_fn=<MseLossBackward0>)","tensor(13512252.3767, grad_fn=<MseLossBackward0>)",66.55330825611789,4.44,16.97,4.25,15.37,37.33,14.28,23.37,16.94,1.15,1.05,1.06,2.06,1.59,18.75,21.42,22.75,23.35,23.36,23.37,23.37,23.35,23.34,23.33,23.35,2.3,2.6,29.0,3.87,1.98,1.56,1.56,16.88,23.33,23.29,23.36,23.32,23.29,1.26,1.24,2.94,2.16,3.68,5.26,5.96,4.87,3.78,1.99,4.73,4.02,6.56,6.21,7.29,7.38,7.02,7.54,7.94,7.77,0.84,11.86
31,3200,404.2842367012616,"tensor(2268.4392, grad_fn=<MseLossBackward0>)","tensor(20006522.3274, grad_fn=<MseLossBackward0>)",80.32873906147806,5.11,18.13,6.45,18.03,17.81,1.95,22.21,15.87,1.06,1.19,1.21,2.32,1.96,17.05,67.31,15.71,24.59,24.58,24.61,24.61,24.57,24.56,24.55,24.57,13.63,2.53,3.0,2.8,1.7,1.94,1.89,18.0,24.56,17.12,18.32,24.57,16.94,1.06,1.11,2.63,1.86,8.89,5.13,5.26,4.17,3.3,1.7,4.48,3.5,5.73,5.32,6.78,7.06,6.2,7.13,8.53,9.67,0.58,10.73
32,3300,384.9935388773349,"tensor(2906.1112, grad_fn=<MseLossBackward0>)","tensor(21806185.3939, grad_fn=<MseLossBackward0>)",81.04226706472542,4.27,24.09,23.71,31.0,30.99,2.39,30.98,30.98,0.8,1.11,1.14,2.01,2.01,30.81,31.27,31.82,59.76,15.27,30.8,95.28,0.56,30.99,15.55,31.85,29.58,2.57,2.58,2.54,1.32,1.93,1.92,23.49,15.51,17.57,30.99,14.16,21.5,1.33,0.87,2.36,1.45,2.71,3.92,4.6,3.41,2.73,1.31,3.81,74.22,47.45,23.19,10.29,8.06,6.5,6.98,8.39,10.06,0.96,7.65
33,3400,381.91915324673676,"tensor(3041.7482, grad_fn=<MseLossBackward0>)","tensor(30665339.9757, grad_fn=<MseLossBackward0>)",75.07494150788311,5.96,26.14,26.17,28.64,27.6,1.38,28.5,27.98,0.64,0.96,0.98,1.68,1.44,27.54,26.87,27.69,21.44,24.92,26.85,25.83,22.56,22.51,19.89,24.04,2.67,1.64,1.97,2.01,1.03,1.48,1.34,26.93,13.61,19.92,28.31,13.61,22.26,1.15,0.69,1.98,1.14,2.05,3.5,4.33,2.95,2.06,1.02,3.4,2.15,4.94,4.4,6.38,6.8,5.8,6.78,8.7,10.08,1.29,4.83
34,3500,473.0251857013406,"tensor(2207.3408, grad_fn=<MseLossBackward0>)","tensor(10614181.0955, grad_fn=<MseLossBackward0>)",80.53171932075271,3.52,26.68,28.72,37.47,36.81,16.07,35.06,36.99,0.49,0.82,0.84,0.99,1.2,34.66,32.96,33.95,23.86,33.08,32.27,32.41,25.17,28.81,22.2,32.15,31.49,1.18,1.18,1.17,0.66,1.25,1.06,20.59,22.91,18.75,37.1,9.82,33.24,32.66,21.9,1.51,0.72,1.27,2.95,3.94,2.36,1.28,0.64,2.86,1.38,4.59,4.0,6.51,7.15,6.16,7.3,8.17,9.12,0.75,5.45
35,3600,480.4987148209428,"tensor(2483.4366, grad_fn=<MseLossBackward0>)","tensor(10027176.0129, grad_fn=<MseLossBackward0>)",84.66587947824091,5.18,38.84,39.51,39.51,39.51,38.58,36.95,39.51,0.5,0.97,1.01,4.57,1.41,39.51,39.07,39.51,28.74,39.49,37.1,38.05,29.34,36.16,32.55,32.67,39.51,1.19,0.93,0.89,0.54,1.63,1.37,30.53,20.72,28.64,36.93,12.35,39.51,0.46,0.43,0.88,0.58,1.08,3.59,5.26,3.02,1.12,0.54,3.47,1.38,6.09,5.99,9.16,9.76,9.83,10.59,11.12,12.02,0.05,9.21
36,3700,245.01989793002855,"tensor(1932.6464, grad_fn=<MseLossBackward0>)","tensor(32138242.9919, grad_fn=<MseLossBackward0>)",81.22580796215166,5.55,31.27,38.65,37.92,37.92,21.83,37.17,37.92,0.43,1.01,1.07,1.45,1.67,37.92,62.82,11.98,37.92,23.23,37.92,27.39,30.14,24.49,25.35,30.09,36.31,0.89,0.77,0.73,0.42,1.79,1.44,22.62,20.97,20.0,37.92,6.49,37.92,3.9,0.35,0.72,0.45,0.93,3.73,5.78,3.23,0.99,0.41,3.6,1.3,6.69,7.05,9.98,10.31,10.38,10.75,69.65,99.99,98.33,0.0
37,3800,410.40963499522474,"tensor(2384.1306, grad_fn=<MseLossBackward0>)","tensor(18578382.6253, grad_fn=<MseLossBackward0>)",79.78139115103555,87.83,4.7,1.21,11.08,13.64,1.91,34.88,35.22,0.38,49.67,34.05,35.28,34.59,35.8,35.59,35.56,30.05,35.72,35.7,35.72,29.24,35.73,46.83,10.79,1.77,0.49,0.61,0.56,0.34,1.9,1.45,26.68,18.45,28.6,35.81,6.91,35.39,20.19,0.39,0.55,0.36,0.84,4.29,7.17,4.15,1.02,0.33,4.11,1.37,8.2,9.82,11.36,11.66,11.91,12.43,12.7,12.92,0.02,1.98
38,3900,510.7663530140282,"tensor(2375.4597, grad_fn=<MseLossBackward0>)","tensor(7056065.5600, grad_fn=<MseLossBackward0>)",85.87398013845755,4.41,23.31,20.77,28.08,28.11,71.03,7.9,4.45,0.28,0.9,0.97,1.27,1.66,28.16,28.94,28.93,27.36,29.24,29.09,29.1,27.93,26.26,23.87,28.91,23.25,0.43,0.51,0.42,0.26,1.76,1.36,19.48,23.89,15.04,27.75,15.43,27.62,1.09,0.26,0.4,0.28,0.83,6.27,10.5,8.41,1.97,0.26,5.94,2.2,10.75,11.32,11.88,12.08,12.46,12.38,6.78,12.35,0.02,1.78
