,Episode,Episode Total Cost,epsilon,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,1000,124.11981327103987,0.4523712051346002,"tensor(2383.4540, grad_fn=<MseLossBackward0>)","tensor(70049086.1600, grad_fn=<MseLossBackward0>)",0.9194240076967859,12.36,12.02,84.18,34.09,83.0,83.53,9.95,81.59,7.38,12.8,92.23,27.55,48.74,67.42,24.22,2.37,50.21,88.48,88.59,55.43,20.31,84.86,60.37,88.01,51.75,88.17,78.82,5.79,12.04,6.78,12.41,15.96,15.09,13.34,13.1,14.07,14.62,30.81,98.28,7.95,12.05,4.11,18.21,94.03,25.73,97.79,52.85,7.31,13.14,19.71,7.64,88.98,30.92,41.39,66.32,28.76,17.98,89.19,88.04
1,2000,-180.25907867329965,0.40932034650451127,"tensor(2330.6172, grad_fn=<MseLossBackward0>)","tensor(50164521.6661, grad_fn=<MseLossBackward0>)",1.2454908477347808,95.36,49.09,2.32,15.5,1.78,2.03,54.84,6.2,16.45,13.66,1.99,73.53,16.16,95.28,58.77,30.48,1.86,18.46,58.53,60.19,2.62,40.6,2.96,89.35,1.8,1.81,2.11,17.56,16.1,30.19,11.31,66.45,13.68,18.79,18.47,44.33,14.68,19.64,21.02,20.31,12.04,1.77,24.25,15.65,18.87,39.62,15.4,17.25,98.7,45.84,41.8,95.72,5.47,36.16,38.51,49.36,49.09,12.6,55.77
2,3000,-148.7134438041321,0.37036651352006744,"tensor(2125.9490, grad_fn=<MseLossBackward0>)","tensor(54277638.4639, grad_fn=<MseLossBackward0>)",1.0123516969460202,49.04,20.95,0.98,38.49,0.28,0.37,22.89,38.29,99.08,51.5,0.28,0.27,55.86,0.24,15.04,0.46,0.35,0.28,0.27,22.36,5.13,90.91,90.4,0.22,57.14,0.22,35.66,27.17,27.3,0.59,29.61,28.59,28.4,12.84,82.38,37.22,27.84,17.49,25.88,28.92,26.75,0.23,32.35,28.03,38.34,29.4,28.33,88.25,2.73,33.23,55.1,0.32,0.44,0.49,0.63,0.77,0.8,24.1,0.48
3,4000,-51.43419126510396,0.33511980410555703,"tensor(2192.8689, grad_fn=<MseLossBackward0>)","tensor(61231641.0212, grad_fn=<MseLossBackward0>)",0.1395805294937656,12.13,14.24,1.79,10.51,17.86,0.45,10.58,37.25,67.56,0.36,1.97,5.71,13.51,0.29,0.29,10.06,27.31,0.31,0.27,2.66,59.74,0.32,7.71,0.31,0.26,15.54,0.48,12.69,13.91,80.09,16.94,18.18,17.77,15.58,9.91,16.26,17.25,5.94,87.83,97.12,48.78,0.21,11.11,16.65,18.32,25.06,88.72,10.85,16.83,26.36,1.03,0.26,94.82,78.81,0.24,8.73,0.21,61.82,0.2
4,5000,266.918158246888,0.30322742203760705,"tensor(2140.6658, grad_fn=<MseLossBackward0>)","tensor(53886448.2272, grad_fn=<MseLossBackward0>)",-0.4192841053071086,83.53,44.6,41.21,35.03,0.72,1.22,13.31,18.42,44.45,6.08,1.32,69.51,0.28,1.39,1.38,1.32,5.4,43.56,0.48,1.77,9.82,1.21,8.73,1.23,1.12,1.32,79.59,97.49,98.2,23.67,28.97,26.83,26.36,24.68,23.88,25.13,26.59,96.77,8.18,26.73,67.05,55.1,61.13,97.12,98.25,96.49,98.1,97.66,15.54,35.5,6.54,84.16,0.1,0.17,0.15,0.14,0.14,0.14,0.14
5,6000,151.5970408001782,0.2743701456885895,"tensor(1919.5764, grad_fn=<MseLossBackward0>)","tensor(30768316.7663, grad_fn=<MseLossBackward0>)",-0.8982125515630052,15.42,43.49,0.44,17.27,1.18,1.41,17.73,28.4,26.06,59.5,0.4,2.0,2.06,1.94,95.78,0.1,66.42,0.19,11.06,1.82,15.77,16.29,36.31,65.88,0.18,81.38,53.47,91.87,98.73,38.16,77.95,62.91,43.95,36.26,33.11,30.64,6.54,26.61,31.67,32.82,92.09,0.07,28.86,33.49,39.01,40.43,50.58,62.91,99.07,98.69,98.09,66.24,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6,7000,246.36348622728792,0.24825913282948894,"tensor(1894.8992, grad_fn=<MseLossBackward0>)","tensor(29856899.2781, grad_fn=<MseLossBackward0>)",-0.4446446307094838,16.1,25.78,1.5,16.4,1.38,1.44,18.77,37.29,31.06,83.27,0.22,2.13,2.22,2.06,2.0,1.24,1.43,1.9,2.24,2.02,17.4,1.31,44.69,0.48,1.56,83.1,0.08,92.28,98.95,0.25,17.43,28.4,30.31,75.85,98.38,86.72,97.96,47.69,39.44,35.14,62.01,0.06,28.83,3.17,27.12,33.66,43.25,97.16,98.86,59.97,14.17,34.21,0.04,0.04,0.04,70.77,0.04,0.04,0.04
7,8000,221.14993458476764,0.22463302951044464,"tensor(1639.2323, grad_fn=<MseLossBackward0>)","tensor(28005003.3064, grad_fn=<MseLossBackward0>)",-0.8223676084178291,15.37,23.14,1.63,56.29,1.02,1.46,18.32,34.85,66.64,65.39,0.93,2.05,2.15,45.1,1.29,1.24,1.45,1.83,51.59,1.55,17.17,1.56,15.83,1.37,1.52,14.48,0.92,17.79,45.97,8.23,16.78,26.9,51.29,56.91,71.77,97.58,37.38,28.96,29.55,29.26,88.01,0.1,28.2,34.34,42.71,29.55,35.06,89.58,99.61,99.55,79.64,21.86,0.1,0.1,0.09,0.09,0.09,0.09,42.26
8,9000,-479.9475485365509,0.2032553540807605,"tensor(1835.5660, grad_fn=<MseLossBackward0>)","tensor(38677905.7469, grad_fn=<MseLossBackward0>)",-0.0245779327057708,12.99,18.53,1.57,16.65,1.4,1.46,16.45,21.9,15.32,28.41,85.58,0.93,26.61,1.79,1.82,1.26,1.45,1.66,2.26,14.34,30.62,1.59,87.85,0.42,1.36,1.53,1.35,14.44,14.02,32.29,50.78,21.25,22.42,17.35,16.82,44.94,22.36,19.3,22.17,21.81,33.45,94.97,99.65,99.8,99.8,38.61,83.23,99.81,96.99,99.78,98.39,46.2,79.27,52.71,0.04,0.03,73.03,0.04,0.03
9,10000,-406.2464743597089,0.18391213016416294,"tensor(1583.8730, grad_fn=<MseLossBackward0>)","tensor(23457156.5343, grad_fn=<MseLossBackward0>)",-1.1820586306849266,2.78,14.93,40.12,78.76,0.99,81.31,97.28,98.29,99.67,29.69,1.14,2.0,8.17,1.86,77.92,0.79,1.5,1.62,2.23,2.08,10.44,1.65,14.63,1.39,9.78,1.45,1.37,62.45,99.09,0.28,12.6,16.84,16.23,14.36,13.79,15.31,15.86,15.6,17.08,16.73,54.05,0.42,71.67,99.88,99.9,89.61,99.89,99.91,99.91,99.9,95.73,92.24,85.81,0.06,66.25,15.04,76.92,0.03,0.03
