,Episode,Episode Total Cost,epsilon,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,1000,247.93294736264693,0.4523712051346002,"tensor(1355.1443, grad_fn=<MseLossBackward0>)","tensor(18838476.7192, grad_fn=<MseLossBackward0>)",-12.397848206560898,47.69,42.03,16.6,7.74,91.03,21.85,9.78,8.04,12.79,16.46,80.79,23.59,9.41,8.05,82.09,57.95,15.67,16.61,11.14,8.32,74.53,6.06,8.33,4.35,0.66,0.54,0.55,0.91,0.83,38.38,0.57,0.76,0.81,0.73,0.82,89.66,25.16,14.12,15.97,8.89,3.44,32.99,69.44,22.92,0.92,0.74,11.35,8.34,0.86,0.91,1.23,1.18,1.35,1.33,87.7,1.17,3.8,1.47,1.52
1,2000,163.31556715884906,0.40932034650451127,"tensor(1449.1814, grad_fn=<MseLossBackward0>)","tensor(17142899.4278, grad_fn=<MseLossBackward0>)",-9.06833326036253,12.9,40.51,14.81,47.71,14.67,94.38,18.75,8.68,14.84,13.94,14.12,9.57,8.44,80.91,22.36,88.64,22.89,14.59,51.96,17.08,66.9,20.27,11.16,75.7,83.43,72.17,88.82,1.17,89.77,0.34,0.85,60.5,0.25,0.95,0.81,66.97,2.81,93.78,38.44,13.85,4.45,45.6,56.5,16.29,0.84,66.06,0.26,1.11,1.24,1.13,1.86,89.69,17.75,57.99,0.41,21.77,1.57,2.79,3.03
2,3000,355.4874527022035,0.37036651352006744,"tensor(1195.0091, grad_fn=<MseLossBackward0>)","tensor(12125069.2959, grad_fn=<MseLossBackward0>)",-11.272772628769765,21.95,10.68,2.56,6.97,7.69,7.63,30.6,51.52,96.92,22.69,13.64,34.42,12.59,7.9,11.25,24.2,13.96,13.94,10.06,7.84,7.81,8.39,7.66,5.86,0.56,24.76,19.64,1.05,33.94,0.21,0.88,0.86,1.02,0.7,26.55,0.86,53.89,26.11,17.34,50.92,54.83,59.16,13.52,29.09,0.96,0.66,0.96,49.67,0.14,44.82,17.59,78.5,0.15,2.35,2.18,36.53,0.6,2.89,2.92
3,4000,-47.1432026476568,0.33511980410555703,"tensor(1224.5165, grad_fn=<MseLossBackward0>)","tensor(13226673.4645, grad_fn=<MseLossBackward0>)",-12.254387653635941,11.91,33.75,12.57,9.05,8.52,8.38,8.16,16.61,10.16,13.03,13.23,9.45,47.61,16.08,52.63,94.43,85.28,23.85,11.34,16.09,9.06,9.16,8.15,6.42,0.56,0.54,0.6,0.81,88.35,0.52,5.86,0.8,6.39,0.7,35.95,0.78,56.46,76.22,32.76,20.73,4.09,0.66,7.49,10.81,0.47,0.8,1.31,1.16,11.1,0.54,2.04,1.77,2.13,2.04,88.51,41.73,0.37,2.4,38.63
4,5000,675.3589227100348,0.30322742203760705,"tensor(1137.4716, grad_fn=<MseLossBackward0>)","tensor(13835375.1282, grad_fn=<MseLossBackward0>)",-11.723561631910105,11.99,10.49,22.62,10.01,8.98,8.81,8.62,91.04,22.12,13.2,13.21,9.68,77.77,18.85,11.29,99.06,25.2,13.85,10.19,8.67,8.55,9.3,8.71,34.78,0.66,0.58,0.65,39.74,0.62,0.78,1.01,99.58,0.29,41.14,0.62,0.56,7.22,11.17,14.23,98.74,11.57,0.53,0.86,7.17,0.63,0.83,19.29,0.31,1.4,1.2,1.93,7.72,61.79,0.13,2.2,39.78,0.37,2.25,2.24
5,6000,-173.79618081579923,0.2743701456885895,"tensor(1274.2795, grad_fn=<MseLossBackward0>)","tensor(19475733.7519, grad_fn=<MseLossBackward0>)",-12.256510151570359,31.13,92.83,19.2,9.95,83.37,19.53,10.69,23.04,11.33,13.2,90.4,22.14,10.9,8.91,11.47,10.7,72.95,15.49,66.42,51.57,18.2,11.34,9.51,5.88,0.44,0.47,0.64,0.54,65.36,14.2,68.28,0.34,1.16,10.83,0.7,0.44,7.43,11.48,30.58,20.11,6.48,0.73,8.42,11.45,87.66,0.81,1.06,1.18,1.37,31.51,0.39,2.13,2.5,2.38,2.44,2.44,2.49,2.51,2.57
6,7000,88.07145262468387,0.24825913282948894,"tensor(1124.9046, grad_fn=<MseLossBackward0>)","tensor(15673216.6022, grad_fn=<MseLossBackward0>)",-11.909605092376811,56.65,15.92,95.81,21.17,10.91,9.58,9.11,8.74,10.53,13.07,59.76,18.13,10.23,8.76,11.39,10.56,25.19,13.81,10.45,8.78,8.52,9.79,22.88,99.6,0.95,67.69,0.8,0.53,0.84,0.81,0.98,0.98,1.14,0.81,0.84,0.42,53.36,24.53,27.01,18.8,5.4,0.79,8.58,11.38,0.53,79.16,0.81,1.22,1.37,1.23,4.45,1.6,2.56,9.62,1.45,2.55,2.47,2.5,61.61
7,8000,19.530816397301578,0.22463302951044464,"tensor(1135.6750, grad_fn=<MseLossBackward0>)","tensor(17529978.8314, grad_fn=<MseLossBackward0>)",-13.328991081398309,12.77,11.12,9.92,9.3,9.82,9.8,9.47,9.25,93.55,25.08,13.34,10.48,55.02,16.97,53.02,18.68,96.3,25.82,12.4,9.52,71.58,18.65,79.25,17.48,0.59,0.44,0.63,0.54,0.77,0.65,0.73,0.73,0.94,0.86,24.11,0.63,7.67,68.95,26.12,18.17,4.4,0.71,35.53,17.54,64.57,0.85,0.88,1.15,1.33,1.18,2.19,1.84,2.23,2.09,2.15,2.15,2.54,62.79,0.19
8,9000,57.02256432465412,0.2032553540807605,"tensor(1013.3446, grad_fn=<MseLossBackward0>)","tensor(12069376.5713, grad_fn=<MseLossBackward0>)",-12.72909590475977,12.86,7.34,9.12,9.03,9.86,9.85,58.56,41.21,15.26,13.32,13.45,10.95,10.38,9.63,11.83,11.3,93.76,6.86,10.69,9.65,70.44,56.76,19.26,97.48,1.03,0.44,0.62,0.53,87.61,91.79,0.34,0.73,0.95,22.07,0.61,0.39,7.5,11.99,14.09,13.67,3.61,0.75,8.45,11.81,0.54,0.62,0.9,1.21,1.35,1.21,2.13,1.81,2.19,2.09,2.1,2.1,32.4,0.3,3.09
9,10000,111.75941547662822,0.18391213016416294,"tensor(993.0554, grad_fn=<MseLossBackward0>)","tensor(16051777.9423, grad_fn=<MseLossBackward0>)",-12.51917913544903,61.33,18.86,10.87,9.2,87.59,19.63,11.05,9.8,11.16,13.01,3.31,10.42,27.08,11.64,11.98,78.19,25.05,14.15,11.6,9.78,8.14,10.13,10.18,5.13,0.41,0.41,35.32,0.92,0.84,0.72,0.75,0.75,88.33,0.82,23.71,38.95,19.44,16.23,15.33,7.97,3.26,0.83,8.31,11.64,0.54,33.5,0.17,1.13,1.39,1.21,2.15,91.24,55.68,0.1,2.52,2.04,2.18,89.07,0.18
