,Episode,Episode Total Cost,epsilon,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,1000,472.43920304118984,0.4523712051346002,"tensor(1852.7616, grad_fn=<MseLossBackward0>)","tensor(21583854.2721, grad_fn=<MseLossBackward0>)",-11.173338088615367,9.62,16.21,92.09,89.73,3.01,10.15,0.32,12.41,65.48,30.83,58.93,63.44,24.8,38.54,72.93,1.37,7.85,8.64,35.01,3.93,3.54,48.34,1.98,90.75,83.55,0.14,91.39,12.4,1.8,4.08,1.66,99.49,26.24,0.43,2.16,8.45,3.26,3.78,52.16,3.99,3.74,4.55,8.36,3.35,80.24,1.61,5.03,3.64,4.04,88.37,15.37,2.17,3.33,84.58,11.66,4.4,34.22,28.29,4.84
1,2000,310.60308134908234,0.40932034650451127,"tensor(1972.3926, grad_fn=<MseLossBackward0>)","tensor(23447908.7004, grad_fn=<MseLossBackward0>)",-11.482060067373467,86.63,7.72,8.2,61.55,3.54,7.39,0.66,6.19,0.6,0.37,0.41,0.31,1.91,5.59,7.35,0.32,6.27,7.01,2.42,2.25,2.1,33.32,1.93,87.51,1.28,5.66,4.32,3.06,3.18,11.43,1.9,76.72,76.13,78.41,1.58,41.36,7.04,87.13,58.71,6.25,2.29,3.61,66.25,7.64,2.53,4.49,2.66,5.6,4.33,5.09,7.43,1.85,2.2,5.37,2.58,81.12,14.15,3.21,2.58
2,3000,38.421024418831735,0.37036651352006744,"tensor(1958.0359, grad_fn=<MseLossBackward0>)","tensor(32467952.2339, grad_fn=<MseLossBackward0>)",-15.096951164047272,6.33,71.35,27.31,6.99,1.78,12.75,75.0,70.31,1.58,71.9,88.7,1.24,1.96,95.91,9.67,0.61,5.87,6.16,40.08,60.04,5.02,78.52,81.46,1.02,5.04,4.28,4.69,2.91,13.6,2.98,27.7,43.29,1.6,45.69,23.66,8.18,1.49,1.64,1.62,18.54,40.94,20.34,9.05,84.87,0.88,5.12,5.53,92.32,4.38,10.18,5.9,1.78,1.43,3.34,82.06,12.56,2.21,1.95,2.1
3,4000,166.95156725928177,0.33511980410555703,"tensor(1971.0094, grad_fn=<MseLossBackward0>)","tensor(29257361.6103, grad_fn=<MseLossBackward0>)",-16.24500882572785,7.24,0.47,8.9,14.53,89.56,16.34,78.53,14.53,0.99,0.65,0.68,0.6,2.21,6.18,28.0,63.52,9.97,5.0,0.48,69.24,4.59,5.52,2.09,0.8,6.1,64.99,33.96,23.28,2.49,4.08,2.11,58.88,1.99,3.81,2.3,5.99,0.32,0.66,0.65,0.66,0.65,2.88,4.72,84.74,0.6,4.34,7.16,84.56,0.77,9.05,7.59,1.57,0.4,60.58,3.83,0.32,0.7,0.7,0.72
4,5000,129.32480901180685,0.30322742203760705,"tensor(2069.1971, grad_fn=<MseLossBackward0>)","tensor(32783777.9133, grad_fn=<MseLossBackward0>)",-17.464254763902748,8.52,0.18,7.44,5.71,2.02,8.27,16.91,15.61,1.12,0.76,0.78,0.76,2.24,24.71,5.98,0.77,7.51,22.43,0.15,65.62,3.12,6.78,2.04,0.89,6.01,4.79,24.63,2.27,60.02,1.88,39.3,67.99,1.94,3.11,2.0,6.78,0.11,14.82,0.23,53.94,0.66,3.09,54.78,9.14,2.26,5.02,7.8,6.04,7.76,6.84,9.74,1.65,0.21,4.23,91.1,9.09,29.79,1.06,0.36
5,6000,112.24473930213675,0.2743701456885895,"tensor(2030.5765, grad_fn=<MseLossBackward0>)","tensor(37045432.0808, grad_fn=<MseLossBackward0>)",-19.4433403090349,8.84,50.54,8.33,5.85,2.09,8.49,1.32,8.22,0.96,0.79,44.89,1.22,2.33,10.97,6.08,0.8,7.54,78.28,8.7,79.42,24.89,3.55,52.45,1.34,6.6,4.8,5.76,3.03,96.92,0.86,31.36,2.32,4.81,3.78,2.55,7.01,83.87,0.38,0.26,23.96,0.09,2.37,6.27,0.12,3.82,71.94,0.1,8.34,82.94,18.92,38.48,0.29,0.32,3.39,64.92,63.01,11.4,0.12,0.27
6,7000,-100.64427163554657,0.24825913282948894,"tensor(1991.6090, grad_fn=<MseLossBackward0>)","tensor(37233328.1632, grad_fn=<MseLossBackward0>)",-17.811424166221517,67.02,2.02,60.29,7.13,2.44,6.5,38.73,9.78,1.06,0.87,28.84,1.68,2.38,7.48,5.6,40.51,5.25,7.2,0.09,0.13,0.14,64.65,92.62,0.48,95.19,0.08,4.74,1.63,1.63,2.3,2.16,1.48,3.78,2.03,43.12,9.04,0.05,3.16,8.24,1.66,0.11,2.14,64.41,24.96,0.97,3.97,6.91,5.61,6.88,6.36,9.65,1.82,0.09,3.56,0.1,0.11,16.86,0.07,0.13
7,8000,199.0588199096647,0.22463302951044464,"tensor(2277.1434, grad_fn=<MseLossBackward0>)","tensor(43159702.1759, grad_fn=<MseLossBackward0>)",-19.25421342487276,87.02,73.03,84.33,9.23,2.85,24.2,2.18,9.07,1.11,0.96,0.97,0.99,2.37,8.03,5.5,16.08,4.04,9.55,0.07,0.12,0.12,96.93,0.71,1.15,2.14,4.22,31.01,59.63,1.05,1.18,2.11,1.04,1.62,1.12,1.2,61.17,9.37,0.07,0.1,0.1,0.09,2.15,51.9,9.2,1.07,3.6,57.37,0.03,7.58,5.84,8.9,2.02,0.08,3.61,0.09,0.09,0.1,0.1,0.12
8,9000,251.35526925220682,0.2032553540807605,"tensor(2088.1020, grad_fn=<MseLossBackward0>)","tensor(31469842.1713, grad_fn=<MseLossBackward0>)",-19.802905480816833,68.83,2.75,64.92,6.79,3.26,5.12,1.92,8.74,1.22,1.05,1.03,1.03,98.57,6.42,4.6,1.11,7.01,7.5,0.06,0.09,0.11,6.85,2.53,1.13,29.17,18.99,75.87,1.03,3.92,16.43,2.27,1.38,25.23,1.37,1.42,7.0,28.57,0.03,0.09,0.09,0.09,1.94,7.01,94.06,0.22,2.67,26.41,13.84,25.28,15.97,25.74,44.26,7.55,5.81,6.0,0.03,0.09,0.1,0.11
9,10000,690.7547638223668,0.18391213016416294,"tensor(2082.7237, grad_fn=<MseLossBackward0>)","tensor(31831203.2712, grad_fn=<MseLossBackward0>)",-19.879256324044576,5.3,0.05,58.51,25.78,4.88,5.71,1.91,8.52,1.23,1.08,1.06,1.01,96.65,6.56,4.68,1.1,6.51,7.26,0.04,0.07,0.07,6.35,2.92,88.87,90.38,0.16,62.6,1.31,3.01,16.9,2.98,71.94,0.84,7.61,5.34,5.69,49.74,78.22,0.13,0.06,0.06,28.92,9.66,31.71,1.25,8.94,21.58,52.97,0.16,64.12,0.36,2.29,88.99,8.5,0.05,0.06,46.13,81.19,11.98
10,11000,562.6543431943304,0.1664097448969575,"tensor(2034.3829, grad_fn=<MseLossBackward0>)","tensor(39162059.8423, grad_fn=<MseLossBackward0>)",-23.039226814841694,4.07,0.05,4.24,4.17,3.76,4.88,2.17,8.18,1.24,1.18,66.58,0.8,3.04,8.16,4.93,1.21,6.87,7.99,0.03,65.21,3.74,7.56,3.88,1.17,33.68,40.29,34.02,21.99,33.91,28.54,2.61,1.33,34.27,13.71,20.04,57.94,2.44,0.05,0.06,0.06,0.06,1.69,7.46,0.02,5.98,29.77,26.79,27.24,24.96,24.57,29.02,0.24,0.05,3.28,0.06,64.2,10.2,0.04,31.32
11,12000,586.0585732637505,0.15057301099145504,"tensor(1883.0334, grad_fn=<MseLossBackward0>)","tensor(37254687.0064, grad_fn=<MseLossBackward0>)",-22.326861692128812,3.75,0.05,0.86,2.37,4.07,4.14,2.31,8.41,1.22,1.28,1.22,35.38,1.56,8.06,3.43,1.18,33.99,5.0,6.39,0.03,0.05,6.47,3.29,1.21,35.43,41.2,35.63,24.12,38.24,20.85,3.12,1.33,85.77,0.67,1.07,6.93,0.02,0.05,95.61,0.06,0.04,1.49,7.48,29.64,2.38,32.18,24.87,27.06,24.99,24.7,29.46,10.62,0.06,3.02,0.05,0.04,0.05,0.05,0.06
12,13000,545.0421000544591,0.13624341322722217,"tensor(1832.0046, grad_fn=<MseLossBackward0>)","tensor(38068516.5849, grad_fn=<MseLossBackward0>)",-24.685805234844068,3.39,0.06,90.87,98.67,1.35,3.1,66.13,7.82,1.14,1.34,1.26,1.16,2.92,7.72,2.22,1.1,6.8,74.89,16.62,0.03,0.05,6.61,5.21,1.16,36.47,45.95,35.02,36.1,34.79,46.96,1.18,44.02,10.36,17.58,35.86,6.19,84.14,0.02,0.04,0.04,0.04,2.08,7.29,0.02,6.06,34.53,27.3,30.67,27.37,27.96,31.31,0.09,0.04,3.26,0.03,0.04,0.04,0.04,48.07
13,14000,321.18511701896097,0.12327752181868122,"tensor(2052.4820, grad_fn=<MseLossBackward0>)","tensor(44583105.4007, grad_fn=<MseLossBackward0>)",-28.045006725490392,3.78,0.04,69.1,9.13,4.15,3.42,2.28,7.96,1.26,18.65,1.16,1.11,6.42,6.98,2.26,1.1,6.77,8.39,0.03,0.05,68.33,7.09,31.15,5.86,35.72,42.25,48.39,14.68,38.32,35.73,1.66,20.89,47.0,5.9,37.33,6.13,0.02,0.03,0.03,0.03,0.03,1.83,7.08,0.02,26.08,17.55,26.58,28.94,27.55,27.54,38.52,0.23,0.03,3.23,0.03,0.02,0.03,0.03,0.03
14,15000,582.5317569584261,0.11154555677792548,"tensor(1831.5834, grad_fn=<MseLossBackward0>)","tensor(41983814.7919, grad_fn=<MseLossBackward0>)",-25.89719318827607,3.95,98.62,9.66,2.32,4.4,3.41,2.41,7.98,1.52,1.53,1.46,65.75,0.68,7.34,2.32,1.16,7.01,8.37,0.02,0.03,0.02,65.51,83.42,34.81,42.04,91.58,98.87,0.09,27.79,42.88,0.98,73.54,0.5,65.89,0.12,6.88,0.01,0.02,0.02,0.02,0.02,2.05,7.19,0.01,27.61,19.8,27.19,28.36,26.66,26.44,30.76,0.01,0.02,3.14,48.87,0.64,0.02,54.29,0.05
15,16000,770.5445380950813,0.10093008890297059,"tensor(1873.1564, grad_fn=<MseLossBackward0>)","tensor(37295076.3980, grad_fn=<MseLossBackward0>)",-30.302828831960714,4.86,0.01,2.99,2.44,33.24,8.63,3.31,10.32,1.6,1.62,1.63,1.35,5.68,11.11,2.54,1.21,7.75,8.33,83.95,10.93,0.01,50.73,3.73,1.41,37.94,40.47,63.61,1.81,26.24,31.3,66.77,0.23,34.74,27.82,24.2,3.48,0.01,0.02,0.02,0.02,0.01,1.25,8.35,0.01,26.18,33.1,29.73,29.89,28.16,27.98,33.6,0.01,74.95,2.26,0.02,0.01,0.02,0.02,0.02
16,17000,615.824709783713,0.09132486438919725,"tensor(1781.8533, grad_fn=<MseLossBackward0>)","tensor(40775207.1498, grad_fn=<MseLossBackward0>)",-29.10651342098497,6.76,0.01,3.13,2.29,3.38,4.82,1.77,1.58,2.04,1.41,1.55,45.74,1.26,8.68,2.01,54.16,4.06,9.38,0.01,0.02,0.02,8.1,21.73,84.89,2.0,35.69,40.84,89.31,0.08,26.33,3.22,21.01,29.05,93.19,0.01,8.13,0.01,0.02,0.02,0.02,0.02,1.0,8.28,0.01,24.03,31.01,29.75,29.85,28.44,28.18,33.05,0.01,0.02,2.53,92.12,1.22,0.02,0.02,0.02
17,18000,363.98838729775605,0.08263374129912003,"tensor(1824.9068, grad_fn=<MseLossBackward0>)","tensor(41309172.6477, grad_fn=<MseLossBackward0>)",-31.166784924819886,8.33,0.01,3.02,2.11,3.17,5.55,1.52,15.36,1.79,1.73,1.72,1.03,9.27,14.09,2.42,1.1,7.8,8.52,0.01,0.02,0.01,7.63,26.4,1.24,36.5,42.42,38.04,33.86,30.11,95.68,0.01,18.23,29.84,27.07,29.35,3.31,0.01,0.02,0.02,0.02,0.02,1.02,71.55,3.22,22.45,30.6,30.55,30.35,28.96,28.62,35.95,61.93,1.01,3.26,0.02,0.02,0.02,0.02,0.02
18,19000,656.6330242745183,0.07476972724525188,"tensor(1580.1207, grad_fn=<MseLossBackward0>)","tensor(42749464.8876, grad_fn=<MseLossBackward0>)",-31.34527208554365,8.25,0.01,2.52,1.78,2.4,5.48,1.5,16.29,2.07,1.8,1.79,1.01,12.19,11.38,1.72,1.14,7.9,8.23,0.01,0.02,0.01,7.46,21.08,1.73,33.28,39.14,36.79,28.99,24.93,25.79,3.51,18.95,30.24,26.4,30.37,3.04,0.01,0.01,0.01,0.01,0.01,98.76,2.02,0.01,23.79,27.16,29.25,28.26,27.36,26.88,32.08,0.0,0.01,2.63,0.02,0.01,0.02,0.02,0.02
